Issue Title,Issue Body,Feature Request
"Module '""@egoist/tipc/renderer""' has no exported member 'createHandlers'.","it seems tipc does not support ""Calling renderer from main"" on the latest release

or I missed something? 

https://github.com/egoist/tipc/tree/main?tab=readme-ov-file#calling-renderer-from-main",False
Issue Template Not works well,"When I try to create a new issue for Chaos Mesh, the ""bug report"" option is not available in issue template:

![image](https://github.com/user-attachments/assets/d07d2d76-ec6f-4fb6-b42c-f496f6083cbd)


![image](https://github.com/user-attachments/assets/242028ef-8a37-453f-8036-e8e22707da63)

",False
blur,"### Tag

Collectible

### Project URL

https://blur.io/

### Worker description

Blur: NFT Marketplace

### What actions should be included?

- ExchangeOrdersMatched
- LoanOfferTaken
- Repay
- StartAuction
- Refinance
- Seize
- BuyLocked


### Additional description

_No response_

### This is not a duplicated worker request

- [X] I have searched [existing issues](https://github.com/rss3-network/node/issues) and [pull requests](https://github.com/rss3-network/node/pulls) to ensure this worker has not already been requested",True
Node Automated Deployer should generate a random secret key if not provided,"This issue related to https://github.com/RSS3-Network/Node/issues/345

By default, the secret key would be used to configure the auth part at the core component of the Node, and it should be configured somewhere in the config file (config.yaml)

If user does not provide the secret key, this deployer should generate a random one automatically.

",True
typo: redis expose port should be 6379,https://github.com/RSS3-Network/Node-Automated-Deployer/blob/e8f4c29b8964316824964a4e31f6f322c589c9e5/pkg/compose/compose.go#L37,False
do not use sudo in automated_deploy.sh,"we asked too many privileges by sudo, but we only use it for installing curl. 

it's better to ask user to install curl in advance.",True
the notification badge always exists even there is no notification,"follow 0.0.1-alpha.1  on macOS 14.5

![image](https://github.com/RSSNext/follow/assets/20221408/9f5627a5-6561-47b1-b180-6029f1b35bf0)
",False
nox portforwarding port 9993 is conflicted with zerotier-one,"Hi team!

I am trying to build my first application on my local environment.

the `nox` cluster failed to start on my machine because the `nox-2` node would like to forwarding on `9993`, which is a kind of well-known port already taken by zerotier-one, which is the local agent of zerotier network.


https://github.com/fluencelabs/cli/blob/7605eae0960a2b446433b205035cd124f43168e9/src/lib/const.ts#L136

reference: https://en.wikipedia.org/wiki/List_of_TCP_and_UDP_port_numbers
",False
"failed on following the ""Getting Started"" docs because `wasm32-wasi` is not installed automatically.","Hi team!

I am exploring the fluence and trying to build my first application on it.

I followed this doc: https://fluence.dev/docs/build/overview/getting_started

I get lots of build errors because I already get rust setup up on my machine  but `wasm32-wasi` support is not installed by default.

I saw some codes to setup rust but I think maybe my situation is not covered.

https://github.com/fluencelabs/cli/blob/7605eae0960a2b446433b205035cd124f43168e9/src/lib/rust.ts#L102-L120

",False
Release 2.7.0 TODOs,"pending issues / prs

- [ ] #4334
- [ ] #4336
- [ ] enable stacktrace for rust ponents

",False
"[Bug]: screen.getCursorScreenPoint() not works on linux, KDE","### Preflight Checklist

- [X] I have read the [Contributing Guidelines](https://github.com/electron/electron/blob/main/CONTRIBUTING.md) for this project.
- [X] I agree to follow the [Code of Conduct](https://github.com/electron/electron/blob/main/CODE_OF_CONDUCT.md) that this project adheres to.
- [X] I have searched the [issue tracker](https://www.github.com/electron/electron/issues) for a bug report that matches the one I want to file, without success.

### Electron Version

29.1.0

### What operating system are you using?

Other Linux

### Operating System Version

archlinux

### What arch are you using?

x64

### Last Known Working Electron version

28.2.5

### Expected Behavior

everytime I call `screen.getCursorScreenPoint()`, it could return the position of mouse 


### Actual Behavior

only the very first time I call `screen.getCursorScreenPoint()`, it would return the right position. on the next calls, it would always return the same value as the first call returned, regardless how I move the mouse


### Testcase Gist URL

_No response_

### Additional Information

_No response_",False
[bug] can not logout after token expired,"### Describe the bug

```
$ zeabur auth logout             
INFO    Token is from OAuth2 and it's expired, refreshing it
ERROR   failed to refresh token, it is recommended to logout and login again: failed to refresh token: oauth2: ""invalid_grant"" ""The provided authorization grant (e.g., authorization code, resource owner credentials) or refresh token is invalid, expired, revoked, does not match the redirection URI used in the authorization request, or was issued to another client""
```

### Expected behaviour

could logout and clear my session.

### Additional context

_No response_

### Code of Conduct

- [X] I agree to follow this project's Code of Conduct",False
keep stack backtrace for our tools like toda and chaos-tproxy which written in rust,"## Feature Request

**Is your feature request related to a problem? Please describe:**
<!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] -->
Yes. Stack backtrace is not available when the program get crashed, it's not easy to debug.

ref: log file in https://github.com/chaos-mesh/chaos-mesh/issues/4330

**Describe the feature you'd like:**
<!-- A clear and concise description of what you want to happen. -->
Keep the backtrace when error occurs.


**Describe alternatives you've considered:**
<!-- A clear and concise description of any alternative solutions or features you've considered. -->

**Teachability, Documentation, Adoption, Migration Strategy:**
<!-- If you can, explain some scenarios how users might use this, situations it would be helpful in. Any API designs, mockups, or diagrams are also helpful. -->
",True
Integrate helm-values-schema-json for updating helm values schema in Makefile," as we already generated helm value schema in #4205 and #4306, it's better to integrate this tool in makefile, also in `make check`",True
Adoption integration test at VM level,"Currently, we mostly use container level test cases for most integration tests like network, CPU, etc.

But for more and more situations requires kernel level testing which is hard to build on github acitons.

I noticed a powerful tool: https://github.com/cilium/little-vm-helper, which could be used as both local command and github action, could create VMs for better isolation.
",True
container image on ARM Platform,"**Describe the feature:**

Hi! Recently I have been investigating running milvus on arm machine.

It works well so far, but I have trouble with setting up attu.

attu does not provide an official arm docker container image.

I am very glad to make contribution to update the existing github action workflow to build arm container image with userspace qemu.


**Describe a specific use case for the feature:**

using milvus on arm machine 
",True
App icon is not delivered with AppImage on Linux​,"### What happened?

I downloaded the 0.8 beta version from the official website, and I got an AppImage application.

And I noticed the application has NO icon entry in both 

- the .desktop file
- the application Window

<img width=""506"" alt=""image"" src=""https://github.com/toeverything/AFFiNE/assets/20221408/23fe9168-d45c-4d30-b0c2-95180a0d2388"">

<img width=""900"" alt=""image"" src=""https://github.com/toeverything/AFFiNE/assets/20221408/ca2381d1-2227-41b5-9f23-822b159db7a2"">


<img width=""314"" alt=""image"" src=""https://github.com/toeverything/AFFiNE/assets/20221408/85f1b92f-38fa-4113-89f0-383474b37be9"">


### Distribution version

Linux

### What browsers are you seeing the problem on if you're using web version?

_No response_

### Relevant log output

_No response_

### Anything else?

I would like to submit a PR, but I am not so familiar with electron application.

If you could give me a direction or potential solution, I am very glad to work on it!

Thanks!

### Are you willing to submit a PR?

- [X] Yes I'd like to help by submitting a PR!",False
Feature Request: add hOCR output support,"Hi! rusty-tesseract is amzaing work! It works pretty well on my both Linux and MacOS machine!


I have used it on my personal project https://github.com/strrl/dejavu, and I found that I require more detailed information like 
page, paragraph, line, not only the ""word"". ref: https://github.com/STRRL/dejavu/issues/7

I found that both `alto` and `hOCR` output could make it possible, and both of them are XML-based output. And I prefer to hOCR because it seems it still keeps updating, https://github.com/kba/hocr-spec/

So here is my proposal:

- append new function called `image_to_hocr`, and output is the **string** which the content is the xml-based hOCR


How do you think about it? :heart:

I could draft a PR for that.

",True
Not works with Nextjs: Module not found: Default condition should be last one,"Hi! I am using grammy with nextjs, everything works well until I introduce the conversation plugin.

```text
- error ./node_modules/.pnpm/@grammyjs+conversations@1.1.2_grammy@1.17.2/node_modules/@grammyjs/conversations/out/deps.node.js:18:14
Module not found: Default condition should be last one

https://nextjs.org/docs/messages/module-not-found

Import trace for requested module:
./node_modules/.pnpm/@grammyjs+conversations@1.1.2_grammy@1.17.2/node_modules/@grammyjs/conversations/out/conversation.js
./node_modules/.pnpm/@grammyjs+conversations@1.1.2_grammy@1.17.2/node_modules/@grammyjs/conversations/out/mod.js
./bot/index.ts
./app/api/webhook/route.ts
- wait compiling /_error (client and server)...
- error ./node_modules/.pnpm/@grammyjs+conversations@1.1.2_grammy@1.17.2/node_modules/@grammyjs/conversations/out/deps.node.js:18:14
Module not found: Default condition should be last one

https://nextjs.org/docs/messages/module-not-found

Import trace for requested module:
./node_modules/.pnpm/@grammyjs+conversations@1.1.2_grammy@1.17.2/node_modules/@grammyjs/conversations/out/conversation.js
./node_modules/.pnpm/@grammyjs+conversations@1.1.2_grammy@1.17.2/node_modules/@grammyjs/conversations/out/mod.js
./bot/index.ts
./app/api/webhook/route.ts
```

`next` version: `13.4.13`",False
Feature Request: oli: copy to directory,"Hi folks! When I use `oli` copy file from s3 to local, I faced this error message:

```bash
$ oli cp limithub-config://limithub/limithub-backend-dev-task-definitions.json .
Error: Unexpected (temporary) at write, context: { service: fs, path: home/strrl/temp } => is a directory, source: Is a directory (os error 21)
```

I am not sure it's on purpose or not.

What do you think about when target is a directory, copy to a new file with the same filename from the source?

like `oli cp limithub-config://limithub/limithub-backend-dev-task-definitions.json .` would create a new file with filename `limithub-backend-dev-task-definitions.json` in the current directory.


And I am glad to contribute to this feature, please assign it to me if it works. :heart: 


Thanks! 
",True
"Always get ""Invalid Tesseract version"" when tesseract not exit as 0","It's better to carry out the exact  exitcode when tesseract does not work as expected.

https://github.com/thomasgruebl/rusty-tesseract/blob/4a0c3da00cd38b8157e833ea0547c72df8e0cbb7/src/tesseract/command.rs#L61-L64",False
RemoteCluster: Sync Chaos Experiements Status back to the Management Cluster,"## Feature Request

**Is your feature request related to a problem? Please describe:**
<!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] -->

**Describe the feature you'd like:**
<!-- A clear and concise description of what you want to happen. -->

**Describe alternatives you've considered:**
<!-- A clear and concise description of any alternative solutions or features you've considered. -->

**Teachability, Documentation, Adoption, Migration Strategy:**
<!-- If you can, explain some scenarios how users might use this, situations it would be helpful in. Any API designs, mockups, or diagrams are also helpful. -->
",True
Hi Community! I create a successor for this project!,"Hi Community! I have operated a homelab kubernetes cluster for years, and I also used cloudflare tunnel to expose my services.

I used to use nginx-ingress / traefik to expose the service on local nodes, then used a standalone cloudflared for tunneling. I started to find a way that could use cloudflared as the implementation of Ingress Controller. I found this official project but it does not work well. I also found [adyanth/cloudflare-operator](https://github.com/adyanth/cloudflare-operator), but it seems it start to use CRD, not the native Ingress.

So I build another Ingress Controller for exposing ingress to the Internet directly with the native Kubernetes Ingress resources!

https://github.com/strrl/cloudflare-tunnel-ingress-controller

Please take a try! And feel free to open issues / prs / discussions. :heart: 
",False
